customer_id,full_name,email,phone,region,postcode,signup_date,loyalty_member,age_group
CUST00076,Valerie Griffiths,hollowaysimon@example.org,01632 960 754,Wales,LA4 9PH,2026-01-27,True,46-55
CUST00077,Harriet Miles,fsmith@example.net,(028) 9018633,Wales,SL5 7EP,2023-06-16,False,26-35
CUST00078,Mr Stephen Myers,katie08@example.com,+44117 4960062,West Midlands,GL1 8BR,2026-05-05,False,18-25
CUST00079,Karen Jones,smithvincent@example.net,(0141) 496 0632,West Midlands,DN11 0SY,2026-03-05,True,26-35
CUST00080,mary thomson,trevorheath@example.net,(0151)4960175,Yorkshire,HG2Y 9FD,2023-05-17,False,36-45
CUST00081,Natasha Thompson,ysmith@example.com,0114 4960684,Wales,KT9W 9BE,2023-11-27,True,18-25
CUST00082,Jayne Patel,chloe29@example.net,+44909 8790865,North East,L31 2QS,2025-02-05,False,46-55
CUST00083,Victoria Evans,helen27@example.net,+44(0)121 4960854,Wales,GU77 6DA,2023-10-06,False,26-35
CUST00084,Dr Gregory Hamilton,edwardscarol@example.net,029 2018721,West Midlands,G8 1QP,2023-06-22,False,26-35
CUST00085,Lucy Waters,hodgsonlaura@example.com,(0117) 4960538,Scotland,N44 3QD,2024-02-03,True,55+
CUST00086,DR ELLIOTT SINGH,lee46@example.com,0151 496 0117,London,FY44 7DU,2024-06-11,False,26-35
CUST00087,Marc Thomas,allenmark@example.com,(0306) 999 0119,London,N1 8HB,2023-11-01,False,36-45
CUST00088,Miss Janet Hill,blakekaty@example.com,(028) 9018 0811,South West,S11 5PP,2026-04-05,True,36-45
CUST00089,MR BILLY BROOKS,nscott@example.org,+4429 2018956,Yorkshire,G1 1BN,2025-04-24,True,26-35
CUST00090,Miss Kathryn Jordan,greenalbert@example.com,(0191) 4960477,Yorkshire,SG2 3PU,2025-01-30,True,18-25
CUST00091,Tina Williams,malcolmmyers@example.org,028 9018463,North East,M9 0XN,2023-10-25,True,55+
CUST00092,MS HAYLEY COOK,irene27@example.com,(0131)4960771,North East,E8 6PQ,2024-05-06,True,36-45
CUST00093,Shannon Ward,slee@example.org,0115 4960986,South East,CF8W 0HJ,2026-04-24,False,46-55
CUST00094,Paige Wright,,+44(0)115 4960492,Yorkshire,E8 8FJ,2024-04-17,True,36-45
CUST00095,Mrs Rosemary Bowen,clifford43@example.com,(01632) 960019,North East,HG5 7YA,2025-12-29,False,36-45
CUST00096,MS NATALIE BELL,rgill@example.com,(0141)4960083,South East,EX0 0UQ,2023-09-01,False,46-55
CUST00097,Katie Morris,ruthbates@example.com,01314960815,South East,BR34 5AN,2025-08-16,True,26-35
CUST00098,Sylvia Jackson,qturner@example.net,+44(0)151 4960946,South West,G1 8TE,2024-04-23,True,46-55
CUST00099,Joe Jarvis,marcus98@example.com,(0151)4960833,Scotland,L7 7ES,2024-02-14,True,18-25
CUST00100,Jade Lambert-Lawson,russelledward@example.com,(0115) 496 0742,West Midlands,G29 6DS,2023-08-08,True,46-55
CUST00101,Denise Thorpe-Mitchell,,0131 496 0224,East of England,B17 3DT,2023-09-25,False,36-45
CUST00102,Stewart Rogers,declan41@example.net,(0909)8790894,West Midlands,LL11 2PF,2025-12-28,True,26-35
CUST00103,Mr Ashley Woods,duncanhoward@example.org,(0151) 496 0285,South East,B5E 8AT,2025-06-13,True,46-55
CUST00104,MS JUDITH MARTIN,martindiane@example.com,+44(0)113 496 0799,Scotland,SY8H 0NU,2025-12-11,True,46-55
CUST00105,Jamie Barnett,jonestoby@example.com,01154960999,Yorkshire,W90 1AE,2023-11-15,False,46-55
CUST00106,Dr Marian Brown,callum17@example.org,(0114) 4960946,Wales,SK2 9RW,2025-08-20,True,18-25
CUST00107,Amanda Oliver,bruceroberts@example.org,0151 4960389,Yorkshire,N3G 8RS,2025-09-20,True,26-35
CUST00108,Kimberley Gray,btaylor@example.com,+44117 4960364,Yorkshire,E2 5FH,2023-11-11,True,55+
CUST00109,Dr Frederick Nolan,howard29@example.com,(028) 9018938,West Midlands,CW96 2JZ,2026-05-06,False,18-25
CUST00110,Mary Davies,lordmaureen@example.com,+44(0)1184960881,Wales,E27 8TE,2023-09-14,True,26-35
CUST00111,Mohammad Gordon,pparker@example.org,01632 960 631,Scotland,G40 1FT,2026-05-11,False,36-45
CUST00112,Zoe Shah-Williams,timothy64@example.org,0306 999 0124,North West,N1D 2QW,2025-12-22,True,46-55
CUST00113,Ms Kathryn Whittaker,,(0191)4960489,Scotland,L61 9YR,2024-06-01,True,36-45
CUST00114,Julian Hunter,robertali@example.com,(0113) 4960227,South East,MK64 8HP,2023-08-15,True,55+
CUST00115,Shane Wright,katherine63@example.org,+44(0)2074960129,Yorkshire,NG3 8YQ,2023-07-25,True,46-55
CUST00116,Mrs Sarah Nicholls,frobinson@example.net,+44141 4960438,West Midlands,ZE3N 4AX,2024-06-02,True,26-35
CUST00117,Dr Dylan Watts,allanlord@example.net,0141 496 0974,West Midlands,BS03 9FZ,2026-02-07,True,18-25
CUST00118,sophie goodwin,harrisleah@example.com,+44(0)292018616,South West,LL7 5EL,2024-12-21,False,36-45
CUST00119,Owen Coates,,+441174960023,Scotland,B5W 1NQ,2026-04-04,True,55+
CUST00120,Kayleigh West,graypauline@example.net,+44(0)1914960542,Yorkshire,L6 1PT,2023-10-17,False,26-35
CUST00121,Josh Birch,,+44(0)909 879 0355,South East,HU0M 9ZJ,2024-05-15,False,46-55
CUST00122,Dr Irene Talbot,jenna27@example.com,+44191 4960361,South East,M8J 2BR,2025-08-30,True,55+
CUST00123,BRENDA RUSSELL,gduffy@example.com,(0117)4960467,Scotland,LN5 1GJ,2023-11-12,False,36-45
CUST00124,Miss Lesley Haynes,byrnesophie@example.com,+44114 496 0324,North East,S89 0UP,2024-03-27,True,55+
CUST00125,Dr Lee Howard,nigel10@example.net,+44(0)115 496 0943,London,B0E 9WZ,2024-12-10,True,46-55
CUST00126,Joanna Nelson-Johnson,morleygavin@example.org,0113 4960494,Wales,G6 0QN,2024-07-02,True,46-55
CUST00127,Joseph Booth,timothygoodwin@example.com,+44(0)115 496 0418,South East,FK2 3EB,2026-05-10,True,36-45
CUST00128,Jeremy Ashton,llawrence@example.org,+4420 74960325,South West,S9H 7QX,2023-08-13,True,18-25
CUST00129,Miss Rachel Wilkinson,kathryn74@example.org,+44(0)8081570358,Scotland,G5K 3LX,2024-07-31,False,55+
CUST00130,luke watts,ybrown@example.com,(0151)4960111,London,KT7 1GS,2026-03-07,True,36-45
CUST00131,mr jamie green,davidhawkins@example.com,(020)74960352,North East,W1U 7TG,2024-03-11,False,55+
CUST00132,Graham Simpson,kirsty79@example.net,+44(0)29 2018718,North West,AL5 3JD,2026-03-29,True,55+
CUST00133,Dr Craig Nash,yfrost@example.org,+44(0)306 9990685,Yorkshire,L2G 9AW,2024-08-26,True,26-35
CUST00134,Marcus Jackson,kirsty03@example.org,+44115 4960085,South East,N7 4PH,2026-05-07,True,36-45
CUST00135,Patricia Tomlinson,jlawrence@example.net,0151 4960874,Wales,N1B 1QR,2026-02-15,True,46-55
CUST00136,Kimberley Armstrong,maycarole@example.com,+44(0)1184960540,Wales,DG54 1NN,2023-07-01,True,18-25
CUST00137,Dr Lewis Miles,daniel52@example.com,+44114 496 0179,West Midlands,S24 1XP,2026-05-11,False,18-25
CUST00138,Nicole May,brandonhutchinson@example.com,+44(0)28 9018355,West Midlands,TF45 1JD,2024-03-08,True,46-55
CUST00139,Russell Walker,welchleslie@example.net,(0141) 4960723,Wales,LL2M 8HE,2024-01-16,False,36-45
CUST00140,Malcolm Chamberlain,denisclarke@example.net,0131 496 0875,Yorkshire,L67 7NU,2024-09-23,False,18-25
CUST00141,Claire Simpson,ggregory@example.com,+44(0)114 4960146,East of England,B76 8HL,2024-01-04,True,26-35
CUST00142,Nicholas Williams-Heath,ricky96@example.org,(0118) 496 0345,Scotland,LE57 7WT,2025-07-13,True,46-55
CUST00143,GEORGE MARTIN,sharonwheeler@example.net,+44118 496 0305,South East,L4 7SU,2024-07-04,True,46-55
CUST00144,Bruce Johnson,,+44131 4960940,North West,EH3H 5ZD,2026-03-09,True,18-25
CUST00145,Mohammed Birch,scottpower@example.com,+44118 4960952,East of England,B48 4TZ,2024-01-27,True,46-55
CUST00146,Jeffrey Lees,,+441134960402,Wales,NE95 1AF,2025-05-03,False,26-35
CUST00147,Mr Charles Moss,jakeashton@example.net,+44(0)808 1570580,South East,CV88 2SS,2025-07-21,True,46-55
CUST00148,ANDREA FIELD-WILLIAMS,coxlinda@example.org,(0114) 4960479,North West,BT13 8UL,2025-11-18,True,36-45
CUST00149,Elaine Bird,charlescooper@example.net,028 9018350,East of England,SM8 2SR,2026-04-09,True,26-35
CUST00150,Heather Clark,armstronghelen@example.org,+44(0)121 496 0393,North West,B5C 8PH,2024-07-01,True,46-55
CUST00151,Alison Hart,williamsjeremy@example.com,+44(0)292018216,North East,L0 6YE,2023-09-19,True,18-25
CUST00152,charlie watkins,nmorton@example.net,(0117) 4960593,Scotland,PL45 9PS,2024-05-31,False,55+
CUST00153,Lynda Arnold-Scott,rharper@example.net,+44(0)114 496 0182,West Midlands,L89 8LL,2025-10-02,False,26-35
CUST00154,Harry Johnson,jonesfrancesca@example.net,0141 4960657,South West,M4G 0RJ,2025-09-04,True,36-45
CUST00155,dr joanna bailey,,+44(0)808 1570963,West Midlands,L08 6ST,2023-06-15,True,18-25
CUST00156,Hazel Vincent,hilldiana@example.com,01144960083,North East,CH57 0JY,2024-06-29,False,26-35
CUST00157,Dr Mohammed Hughes,nicholas91@example.net,(0118) 496 0546,Yorkshire,E5E 5FQ,2025-01-31,True,26-35
CUST00158,CHARLIE DAVIS,wardpatrick@example.net,+44(0)115 496 0501,South East,IV7 6FB,2026-03-14,False,18-25
CUST00159,MR BILLY SHAH,margaretmoore@example.net,+44(0)1164960180,North East,EN61 9FA,2023-07-30,False,36-45
CUST00160,Miss Annette Young,ycarr@example.com,+44(0)113 4960891,South West,SR9H 9PH,2025-09-12,False,55+
CUST00161,Dr Peter Bell,eferguson@example.com,+44161 4960393,Wales,AL3 8TJ,2025-02-22,False,36-45
CUST00162,Mr Craig Wallis,andrea38@example.net,0117 496 0859,East of England,WV91 9RQ,2025-10-11,True,46-55
CUST00163,LOUISE JACKSON,kaurdennis@example.com,+442074960148,Wales,SO1 6RN,2024-11-29,True,18-25
CUST00164,Rachel Abbott-James,uward@example.com,029 2018 0645,Scotland,LA15 2HY,2025-11-02,True,36-45
CUST00165,MR BRYAN MOSS,hayleyallen@example.com,+44292018427,South East,W96 8TB,2025-08-18,True,36-45
CUST00166,Miss Carolyn Gibson,karen93@example.com,0113 496 0539,North East,N5 4ZL,2025-07-10,True,36-45
CUST00167,Ms Pamela Jones,yholden@example.net,028 9018117,South West,TW78 3FX,2024-11-18,False,18-25
CUST00168,RICKY CAMERON,simon85@example.net,+44(0)20 74960650,South East,G62 8HH,2024-10-29,False,36-45
CUST00169,Dr Mitchell Lewis,afoster@example.org,(0909) 8790903,Wales,L7 1JD,2024-03-08,True,18-25
CUST00170,STANLEY LEWIS,jonesleon@example.org,0116 4960092,Scotland,N8 9SF,2026-01-14,False,26-35
CUST00171,stuart wood,michael89@example.net,01314960083,Scotland,M2U 7US,2023-08-21,True,36-45
CUST00172,Mrs Leah Jones,steelelaura@example.org,+44808 157 0453,Wales,WF5H 0TP,2026-04-28,True,18-25
CUST00173,Donald Reed-Robson,nmitchell@example.org,(0131) 496 0483,Scotland,SP2E 0LS,2025-05-30,True,18-25
CUST00174,Stacey Wright,jane27@example.net,+44(0)191 4960295,East of England,G2 0FG,2023-08-30,True,26-35
CUST00175,Mark Allen,jordan50@example.net,(0141) 496 0526,North East,CM86 8UY,2023-08-15,True,18-25
CUST00176,Hazel Clarke,jsummers@example.net,0131 496 0646,West Midlands,W1 2TQ,2023-07-28,True,18-25
CUST00177,Kerry Walsh,estephens@example.org,+448081570535,London,M7 6QB,2025-05-09,False,18-25
CUST00178,Kieran Leonard,marion85@example.org,+44(0)121 4960969,North West,HG4 7XN,2023-07-29,True,18-25
CUST00179,Jay Hicks,williamsonjacob@example.org,+44(0)161 4960362,Scotland,E2T 3TU,2023-08-19,True,26-35
CUST00180,Mohamed Taylor-Lane,,01154960189,North East,S0K 0UA,2023-10-18,True,18-25
CUST00181,Denis Foster-Todd,marcwarren@example.com,(029) 2018 0072,Scotland,B4 4GT,2024-11-01,False,18-25
CUST00182,DENIS WILKINSON,holliedobson@example.net,+44(0)1214960517,South East,B25 8QX,2024-02-08,False,55+
CUST00183,Lucy Allen,evansclaire@example.org,+44808 1570224,North East,M1T 4HZ,2023-08-30,False,46-55
CUST00184,Kate Morrison-Carr,janice88@example.org,0141 496 0630,Wales,BD3H 9QR,2025-03-02,True,55+
CUST00185,Jill Shepherd,lhughes@example.net,+44(0)1174960417,Yorkshire,PA60 4FB,2023-06-25,False,46-55
CUST00186,Charlene Barnes,shane76@example.net,(0117)4960234,South East,E3F 4FR,2025-11-20,True,46-55
CUST00187,PAULA WRIGHT,glenhughes@example.net,+44121 496 0835,South East,M2K 7FQ,2023-08-08,True,36-45
CUST00188,Mrs Amanda Saunders,laura68@example.net,0306 9990678,North West,DA8R 4GY,2023-08-14,True,18-25
CUST00189,Shaun Russell-White,tracy42@example.net,+44(0)909 879 0659,South West,KY3Y 6DX,2024-05-01,True,18-25
CUST00190,GERALDINE DAVIES,chelsea92@example.com,0115 4960841,West Midlands,E6J 3TJ,2025-03-26,True,26-35
CUST00191,Leonard Gibson,zreid@example.org,01632 960 428,North West,CO9H 2QJ,2025-04-14,True,36-45
CUST00192,Dr Carl Brooks,qryan@example.com,+44(0)118 496 0824,South East,N4H 2JG,2025-06-04,True,55+
CUST00193,KYLE RYAN,fparker@example.com,+44306 999 0859,North East,WS12 4RJ,2026-02-17,True,36-45
CUST00194,Jacob Turner,seanthomas@example.org,+44(0)3069990586,London,RM8A 2QA,2025-07-27,False,18-25
CUST00195,pauline lee,brownraymond@example.net,+44118 4960564,North West,M49 7DF,2024-09-04,True,18-25
CUST00196,Dr Glen Chambers,paulsimpson@example.net,01632 960 477,South East,E05 1RA,2024-06-05,True,36-45
CUST00197,Allan Talbot-Spencer,miahlee@example.org,+44306 9990830,West Midlands,CO6 0AL,2023-10-11,True,26-35
CUST00198,Amy Miller-Mann,,+448081570750,North East,G8 1HJ,2024-07-18,False,55+
CUST00199,Ms Lynne Newman,lawjoanna@example.com,01144960901,Scotland,KY6 4YS,2024-06-07,False,18-25
CUST00200,Miss Marion Mistry,ian58@example.net,+441414960856,West Midlands,S99 6UB,2024-05-30,True,26-35
CUST00201,DR CHRISTOPHER WHITE,allancox@example.org,020 74960305,South West,N0D 0JQ,2026-04-06,False,26-35
CUST00202,colin bishop,shawbeverley@example.com,(020) 7496 0881,North West,N2S 4JZ,2024-11-10,True,46-55
CUST00203,Terence Harris,smithgeoffrey@example.com,(0118)4960215,North West,L17 4RD,2025-04-11,True,36-45
CUST00204,MRS JOYCE MCLEAN,amber66@example.com,+44(0)289018859,South East,S37 4PT,2024-03-18,True,46-55
CUST00205,Mrs Mary Warner,sdickinson@example.com,01414960851,South East,M6 1WS,2023-06-30,True,46-55
CUST00206,Louise Roberts,molly66@example.org,(0151) 496 0119,West Midlands,E3U 8DL,2023-09-27,True,46-55
CUST00207,Hilary Ryan,craigfrancis@example.com,+44(0)1632 960 608,East of England,PA8 4SX,2026-04-11,True,18-25
CUST00208,Dr Dale Roberts,jacquelinewatson@example.org,+44121 496 0938,South West,L4U 8EA,2023-11-21,True,18-25
CUST00209,Darren Frost,joanna29@example.org,+44(0)114 496 0139,Wales,WD42 0BG,2024-09-10,False,36-45
CUST00210,Scott Cooper,vincent74@example.org,+44(0)117 4960384,North West,E0T 2SR,2024-02-14,True,18-25
CUST00211,Terence Cook,chloetownsend@example.com,+44(0)114 4960860,North West,M4 3XY,2024-03-26,True,46-55
CUST00212,Mrs Jill Rogers,collinssean@example.com,+44(0)114 4960065,North East,M6 7AG,2025-05-24,False,26-35
CUST00213,Gerald Hussain,,+44191 496 0475,Scotland,OX85 2XJ,2026-02-12,True,18-25
CUST00214,natasha murray,yvonne45@example.net,0161 4960989,East of England,L0F 0EN,2026-03-20,False,36-45
CUST00215,Denise Stevens-Barker,gemma07@example.net,(0808) 157 0472,South East,L08 2GB,2026-04-18,False,55+
CUST00216,Dr Frances Clarke,leesbeth@example.org,+44(0)151 4960879,Wales,B22 6BQ,2024-04-22,True,26-35
CUST00217,elliot walton-frost,daniel57@example.net,+44(0)151 496 0830,East of England,IP6X 3WN,2024-01-24,True,36-45
CUST00218,MS JAYNE JOHN,melissa73@example.net,+44151 496 0253,South East,M3G 7DL,2024-03-12,True,46-55
CUST00219,Paula Miller,edward18@example.net,08081570138,Scotland,B82 6YB,2025-12-31,False,46-55
CUST00220,Naomi Higgins,uahmed@example.org,01184960560,South West,NR8H 6GU,2025-07-27,True,36-45
CUST00221,Mr Kevin Griffiths,beth38@example.org,(0116)4960096,South East,G03 9UY,2025-10-17,True,55+
CUST00222,Shirley Walker,haynesstephanie@example.net,+4429 2018183,North West,CT7 8YB,2025-10-12,False,46-55
CUST00223,Naomi Ferguson,gregory47@example.org,+44(0)161 496 0699,North West,M72 8XF,2024-03-20,False,26-35
CUST00224,Dr Kevin Wheeler,nicola80@example.net,+44161 4960150,Wales,PH19 9XA,2023-07-07,False,36-45
CUST00225,Bradley Simpson-James,atkinsonhazel@example.com,+44(0)20 7496 0402,North West,N66 1GJ,2025-07-19,True,26-35
CUST00226,Guy Turner,,0151 4960413,North West,CM2 3EP,2026-01-30,True,55+
CUST00227,DR ARTHUR HARRISON,gtomlinson@example.org,(0114)4960316,London,ST72 4YZ,2023-07-04,False,26-35
CUST00228,Mr Kyle Ward,hilary80@example.net,(0115)4960190,North West,GL3 3ZL,2025-02-16,True,46-55
CUST00229,Derek Clark,hazel07@example.net,(01632) 960166,London,FY2 8WQ,2026-03-04,True,36-45
CUST00230,Neil Bowen-Watts,jadefraser@example.org,+44115 496 0056,Scotland,E1 2SR,2025-07-12,False,26-35
CUST00231,Rosie Goodwin,graemeclarke@example.net,(01632) 960970,East of England,KA45 3RB,2024-11-02,False,46-55
CUST00232,Mr Elliot Vaughan,alijoan@example.net,+44306 9990867,Wales,BR3Y 3DN,2026-02-12,True,36-45
CUST00233,Terry Chan-Brown,bethanyfoster@example.org,(0115) 4960678,London,GU62 4YD,2024-07-15,True,18-25
CUST00234,Brian Graham,goodwinross@example.com,+44808 157 0060,West Midlands,L4 0GX,2024-09-09,True,46-55
CUST00235,Jack Archer,smithannette@example.org,+44191 496 0709,South East,EN9 1TL,2026-02-18,True,46-55
CUST00236,Ms Katherine Humphreys,marianlowe@example.net,+448081570031,London,L77 6BQ,2024-12-31,False,26-35
CUST00237,Mrs Rachael Hurst,pamela29@example.net,+44(0)121 496 0282,London,SW7X 9UY,2026-01-05,True,26-35
